Area_Name,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2013,Rural_Urban_Continuum_Code_2023,Urban_Influence_Code_2013,Urban_Influence_Code_2024
Michigan,16.9,350169.0,16.9,87339.0,16.1,249328.0,13.3,1300052.0,68410.0,18.1,374807.0,19.1,98511.0,17.5,271066.0,13.7,1344432.0,69784.0,69097.0,17.5,18.0,16.8,13.5,362488.0,92925.0,260197.0,1322242.0,,,,
Minnesota,9.6,122644.0,9.3,29941.0,9.0,86450.0,9.0,505940.0,84312.0,10.8,137660.0,11.3,36357.0,10.4,99834.0,9.4,532988.0,85828.0,85070.0,10.2,10.3,9.7,9.2,130152.0,33149.0,93142.0,519464.0,,,,
Mississippi,23.1,154104.0,23.4,39541.0,22.0,109073.0,17.8,504744.0,53167.0,25.5,170184.0,27.2,46009.0,25.0,123847.0,18.8,534044.0,55605.0,54386.0,24.3,25.3,23.5,18.3,162144.0,42775.0,116460.0,519394.0,,,,
Missouri,14.0,187567.0,15.1,51085.0,12.6,125404.0,11.7,706471.0,67601.0,15.4,207311.0,17.5,59365.0,14.4,143254.0,12.3,741155.0,69367.0,68484.0,14.7,16.3,13.5,12.0,197439.0,55225.0,134329.0,723813.0,,,,
Montana,11.8,27228.0,12.3,6830.0,10.5,18231.0,11.3,124943.0,69537.0,13.8,31904.0,15.7,8708.0,12.9,22317.0,12.3,135659.0,72341.0,70939.0,12.8,14.0,11.7,11.8,29566.0,7769.0,20274.0,130301.0,,,,
Nebraska,10.2,48243.0,10.2,12331.0,9.2,32205.0,9.8,189186.0,73441.0,12.0,56651.0,13.4,16171.0,11.4,39641.0,10.6,206066.0,76013.0,74727.0,11.1,11.8,10.3,10.2,52447.0,14251.0,35923.0,197626.0,,,,
Nevada,15.4,103625.0,17.4,28846.0,13.9,69885.0,11.8,370444.0,74949.0,17.4,117447.0,21.0,34956.0,16.3,82171.0,12.6,397040.0,77715.0,76332.0,16.4,19.2,15.1,12.2,110536.0,31901.0,76028.0,383742.0,,,,
New Hampshire,7.1,17733.0,6.3,3829.0,6.5,12092.0,6.9,94253.0,95009.0,9.3,23015.0,9.7,5933.0,9.1,16866.0,7.7,105685.0,99053.0,97031.0,8.2,8.0,7.8,7.3,20374.0,4881.0,14479.0,99969.0,,,,
New Jersey,12.2,240126.0,11.6,58505.0,11.6,170599.0,9.5,864431.0,98681.0,13.4,265798.0,13.6,68565.0,13.2,193593.0,9.9,906627.0,100751.0,99716.0,12.8,12.6,12.4,9.7,252962.0,63535.0,182096.0,885529.0,,,,
New Mexico,21.2,94409.0,21.8,22940.0,20.2,68124.0,16.3,338041.0,61051.0,24.0,106807.0,26.0,27462.0,23.6,79610.0,17.5,361703.0,63521.0,62286.0,22.6,23.9,21.9,16.9,100608.0,25201.0,73867.0,349872.0,,,,
