Area_Name,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
Cameron Parish,3.0,2.0,2.0,4.0,439.0,496.0,656.0,544.0,155.0,341.0,1022.0,1527.0,2244.0,2677.0,2048.0,1378.0,2775.0,2731.0,2173.0,1994.0,880.0,429.0,3.8,6.9,3.7,6.4,13.0,17.4,22.4074475,34.96542185,40.2,42.8,44.33860143,38.11894882,38.9,31.9,19.0517428,11.86721992,7.9,7.9,14.20220827,15.04840941,24.9,31.1,67.6,55.6,151.0,317.0,728.0,1090.0,1035.0,1264.0
Camp County,6.0,6.0,8.0,5.0,652.0,909.0,1258.0,1653.0,248.0,419.0,970.0,1756.0,2146.0,2439.0,2362.0,2966.0,3104.0,2778.0,2369.0,2279.0,2115.0,1333.0,5.3,7.4,7.4,12.3,21.0,24.7,29.88140359,29.08376028,32.8,32.6,28.87883604,35.33897295,36.2,30.5,25.85890696,15.88228285,10.0,12.2,15.38085341,19.69498392,20.8,31.1,66.5,49.2,345.0,693.0,1376.0,1847.0,2444.0,2441.0
Campbell County,1.0,1.0,1.0,1.0,7867.0,11748.0,16374.0,25815.0,2693.0,4698.0,13432.0,17129.0,18001.0,19882.0,19324.0,17595.0,28288.0,21188.0,15316.0,10956.0,7306.0,4509.0,5.7,9.8,6.0,10.0,21.9,25.5,27.72558444,26.76183344,34.1,34.8,32.4767651,26.89174525,29.0,19.2,12.27878523,6.891439576,14.9,20.5,27.51886523,39.45498174,28.4,35.9,59.9,44.4,2844.0,4758.0,11547.0,14598.0,16497.0,17510.0
Camuy Municipio,3.0,2.0,3.0,4.0,1332.0,2934.0,3850.0,5220.0,,598.0,,1609.0,2783.0,4095.0,5108.0,6353.0,,9174.0,9936.0,10386.0,8432.0,6549.0,,4.9,,6.6,11.3,17.1,24.67296197,26.23738196,17.6,19.5,22.12596379,25.85884077,62.7,49.4,36.52430044,26.65662651,8.4,14.0,16.6767738,21.24715077,,13.2,,75.3,,805.0,1785.0,3592.0,5696.0,6446.0
Canadian County,1.0,1.0,1.0,1.0,7745.0,11738.0,19442.0,34242.0,1379.0,4877.0,6586.0,12897.0,14997.0,17961.0,21916.0,29424.0,7304.0,7852.0,8184.0,7147.0,6660.0,8448.0,7.9,15.2,12.3,19.9,33.3,34.4,36.82174622,33.12436824,32.4,32.0,28.83532446,27.28663767,17.7,12.7,8.7626967,7.834336428,16.7,20.9,25.58023262,31.75465767,37.8,40.3,42.0,24.5,2134.0,6365.0,15423.0,19361.0,27986.0,35719.0
Candler County,7.0,9.0,9.0,9.0,483.0,626.0,1054.0,992.0,268.0,409.0,414.0,995.0,1443.0,1804.0,3109.0,2544.0,2654.0,2680.0,2282.0,2655.0,1449.0,1523.0,7.6,9.0,5.6,9.7,13.8,17.5,19.80565876,30.4604811,29.6,29.3,44.42697914,34.96907216,46.8,43.1,20.70591598,20.9347079,9.9,10.2,15.06144613,13.63573883,11.7,22.0,75.1,59.3,197.0,437.0,673.0,1081.0,1386.0,2216.0
Cannon County,1.0,1.0,1.0,1.0,473.0,716.0,1211.0,1760.0,134.0,384.0,1004.0,1982.0,2459.0,3666.0,4279.0,4318.0,3707.0,3488.0,3110.0,2784.0,2250.0,1641.0,2.7,6.1,3.4,7.0,11.7,15.6,19.50915141,25.75743003,35.9,43.2,44.49875208,41.53121093,45.4,32.8,23.3985025,15.78339906,6.9,8.4,12.59359401,16.92795999,20.0,31.5,73.9,55.4,172.0,444.0,802.0,1320.0,1876.0,2678.0
Canyon County,2.0,2.0,2.0,4.0,6383.0,11415.0,18605.0,35118.0,2895.0,5559.0,10513.0,17080.0,17298.0,23239.0,35525.0,46127.0,15284.0,16066.0,15469.0,18371.0,19602.0,18896.0,8.8,12.0,12.4,16.3,26.6,30.8,34.22364958,34.89770577,32.4,30.3,31.6918685,29.98745295,29.0,24.0,17.48695303,12.2844085,12.0,14.9,16.59752888,22.83043278,32.1,37.0,46.6,34.8,4078.0,7518.0,14158.0,23594.0,38363.0,53680.0
Canóvanas Municipio,1.0,1.0,1.0,1.0,1619.0,2703.0,5720.0,8466.0,,545.0,,2952.0,4218.0,5803.0,9284.0,8465.0,,10123.0,10944.0,11225.0,8898.0,6173.0,,3.7,,7.5,14.5,20.8,20.71779223,24.88214065,21.5,23.3,30.79474592,27.52219007,55.8,45.1,29.51439565,20.07022792,8.2,10.9,18.97306621,27.52544136,,20.0,,68.7,,1111.0,2848.0,5180.0,6246.0,7653.0
Cape Girardeau County,3.0,2.0,3.0,4.0,7247.0,10515.0,13266.0,17967.0,2505.0,5648.0,7813.0,10914.0,12496.0,14447.0,16186.0,17011.0,13214.0,11958.0,9677.0,8212.0,6227.0,3805.0,9.6,17.1,9.4,13.7,22.2,23.6,26.58188777,26.88109199,33.0,33.3,33.30658271,32.07141645,25.6,18.9,12.81354816,7.17369582,19.2,24.2,27.29798136,33.87379574,30.1,33.0,50.9,36.2,2437.0,4527.0,8402.0,10266.0,12918.0,14258.0
